# Simulation 1 (Up to date)
# 357 data points written for 12 variables.
#
# Tempo (s),Altitude (m),Número de Mach (​),Número de Reynolds (​),Coeficiente de arrasto (​),Coeficiente de arrasto axial (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de força normal (​),Temperatura do ar (°C),Pressão do ar (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
9.001,607.989,0.059,5.379e5,0.53,0.53,0.215,0.194,0.121,6.388e-4,15.395,847.219
9.051,608.988,0.058,5.243e5,0.53,0.53,0.216,0.194,0.121,6.843e-4,15.387,847.121
9.101,609.961,0.056,5.107e5,0.531,0.531,0.217,0.194,0.121,7.31e-4,15.38,847.026
9.151,610.909,0.055,4.972e5,0.532,0.532,0.218,0.194,0.121,7.583e-4,15.373,846.933
9.201,611.832,0.053,4.837e5,0.533,0.533,0.219,0.193,0.121,7.854e-4,15.366,846.842
9.251,612.729,0.052,4.702e5,0.534,0.534,0.22,0.193,0.121,8.285e-4,15.359,846.754
9.301,613.6,0.05,4.567e5,0.535,0.535,0.222,0.193,0.121,8.776e-4,15.352,846.669
9.351,614.447,0.049,4.433e5,0.536,0.536,0.223,0.192,0.121,9.746e-4,15.346,846.586
9.401,615.268,0.047,4.298e5,0.537,0.537,0.224,0.192,0.12,0.001,15.34,846.505
9.451,616.064,0.046,4.165e5,0.538,0.538,0.226,0.192,0.12,0.001,15.334,846.427
9.501,616.835,0.045,4.031e5,0.539,0.539,0.227,0.192,0.12,0.001,15.328,846.351
9.551,617.581,0.043,3.898e5,0.54,0.54,0.228,0.191,0.12,0.002,15.322,846.278
9.601,618.302,0.042,3.764e5,0.542,0.542,0.23,0.191,0.12,0.002,15.317,846.208
9.651,618.998,0.04,3.631e5,0.543,0.543,0.232,0.191,0.12,0.002,15.312,846.139
9.701,619.669,0.039,3.499e5,0.545,0.545,0.234,0.19,0.12,0.002,15.306,846.074
